Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Nepal,NPL,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,58.93883,60.13256,..,..,..,66.07108,..,..,..,..,..,..,..,..,..,..,65.86436,72.11046,..,..,79.86805,80.51963,..,..,..,..,..,..,99.33229,99.91032,..,98.99553,98.34165,98.32872,96.47713,..,96.2984,..
India,IND,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,..,..,..,..,..,..,..,61.04195,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,77.12007,..,..,..,..,..,..,..,..,..,83.85499,83.79816,83.6246,88.46232,..,..,..,96.78945,96.84171,95.53715,96.12032,95.71761,96.98764,97.73768,..,..,..,..,..,..,..
Burkina Faso,BFA,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,..,..,..,..,..,..,..,10.0546,10.48779,..,..,..,..,12.55795,13.02682,13.5189,14.30845,15.32438,16.8141,18.08002,19.42905,21.48462,23.48546,25.13819,25.62197,25.91472,..,27.18227,27.70352,28.68706,29.91303,31.53515,..,..,34.98034,35.51457,36.7463,37.77186,36.72142,39.04855,41.14892,45.97286,49.62343,54.95361,61.00304,63.89452,..,64.89106,66.07414,66.97207,68.30377,69.95995,75.85293,77.00507,79.34168,..,..
Tanzania,TZA,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,48.42576,..,..,..,70.31534,69.10873,64.27174,63.08491,59.91207,57.07667,55.78313,54.35093,52.73154,52.67746,52.04343,51.36883,51.46872,50.6785,49.44943,49.3284,49.47382,49.9158,49.44674,49.91991,53.56517,58.15997,73.12778,81.66678,86.22288,90.97495,96.90329,..,99.0978,..,92.61676,..,87.50078,85.00963,83.32041,..,84.56048,84.56329,82.35094,..,..
Uganda,UGA,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,37.61944,..,41.43146,43.29865,..,..,..,57.42981,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,91.62249,94.77248,..,95.64356,..,..,..,..,..,..,..
Bangladesh,BGD,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,..,..,..,..,..,..,51.62585,..,..,72.03309,..,..,76.7823,73.18313,72.14783,..,..,68.55957,..,65.58304,64.46519,62.89953,62.08812,61.20893,71.93169,71.90344,74.92288,..,..,..,..,..,..,..,..,..,..,..,..,..,..,97.24423,96.74066,..,95.72411,95.86042,94.9566,..,..,..,..,..,..,..,..,..,..
Pakistan,PAK,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,55.29802,56.7235,64.20929,66.9366,60.78372,64.82106,64.9296,65.44091,65.98301,63.07016,62.69421,67.3957,65.75982,61.53027,66.01372,65.48858,68.18916,..,..
Guatemala,GTM,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,..,..,..,..,..,..,45.95251,47.12064,47.8403,..,49.11799,50.10291,..,..,52.317,52.81906,54.64924,57.53732,54.64903,58.17684,..,..,..,..,..,..,..,..,..,..,..,..,..,71.03313,..,80.79316,83.54524,82.77562,86.05956,..,90.71364,92.28014,93.91345,95.05148,95.04337,97.99573,..,..,..,89.9423,88.09642,87.80667,87.19765,88.19802,89.21348,..,..
Djibouti,DJI,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25.13891,26.71036,26.89379,26.77046,26.73386,27.19719,27.2619,28.46114,26.21071,27.08583,28.14266,28.11271,27.03833,..,26.86259,27.03563,29.71355,31.34215,..,35.30679,..,39.88965,43.9415,48.01862,47.98952,..,58.5606,..,58.87689,67.529,60.7187,57.24558,59.96579,62.10696,67.02502,..
Ethiopia,ETH,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,29.42184,29.97445,28.70256,..,..,..,..,19.18834,21.94671,26.19184,..,33.66542,36.1702,40.27072,44.56625,46.8104,47.54802,50.34928,61.18754,65.75849,70.93256,76.57609,76.13867,74.19156,78.06719,79.24993,..,85.7378,85.19824,..,..,..,..,..
Mozambique,MOZ,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,..,..,..,..,..,..,..,..,..,34.21934,..,..,..,..,..,38.51612,..,36.49733,36.18197,50.22197,..,52.72202,51.72821,48.17184,44.23221,44.62412,46.33302,44.54734,42.71635,41.55607,42.6137,44.85301,..,..,49.58684,53.24219,57.01518,61.50827,57.07028,..,70.24087,75.39277,79.27081,84.40163,87.67972,88.70999,89.97482,87.68879,87.93646,89.12473,89.91204,91.51459,90.76644,89.87354,93.92934,..,..
Trinidad and Tobago,TTO,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,..,..,..,..,..,..,..,93.10544,92.28757,91.5557,91.4091,92.25022,95.34003,96.04981,94.09735,89.40766,86.2554,91.30311,92.58563,92.57738,91.8715,92.15856,90.38142,92.40427,93.22378,91.84532,90.03117,89.61541,89.19696,88.31997,..,..,88.66688,88.48501,..,97.89582,98.31055,97.77013,94.54249,95.92923,96.58373,93.66984,..,96.88065,98.02162,98.35851,98.77982,..,..,..,..,..,..,..,..,..,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 05/25/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
