Year,January,February,March,April,May,June,July,August,September,October,November,December
2021,"68,796","55,489","45,567","38,899","35,401","38,611",,,,,,
2020,"53,043","40,803","46,510","83,494","49,405","39,881","38,182","34,752","39,818","43,250","47,902","52,660"
2019,"50,385","42,847","41,117","41,167","41,504","36,180","39,614","36,271","37,462","43,257","42,280","44,286"
2018,"60,075","45,918","47,726","43,478","39,951","37,213","38,059","37,610","34,682","41,466","40,971","38,710"
2017,"60,075","45,918","47,726","43,478","39,951","37,213","38,059","37,610","34,682","41,466","40,971","38,710"
2016,"44,387","43,033","45,308","43,755","38,716","39,378","36,484","38,006","37,742","37,835","43,523","42,624"
2015,"44,387","43,033","45,308","43,755","38,716","39,378","36,484","38,006","37,742","37,835","43,523","42,624"
2014,"57,034","43,727","44,809","42,286","36,713","39,289","37,916","33,823","38,876","39,458","38,883","42,495"
2013,"45,929","38,566","38,573","38,729","36,880","36,058","38,512","33,640","38,339","40,201","36,967","46,481"
2012,"49,492","41,002","41,915","46,352","39,475","33,503","37,260","33,322","34,350","39,585","37,322","39,974"
2011,"43,882","41,861","41,299","38,928","41,087","34,303","36,657","36,435","32,934","40,394","39,330","39,669"
2010,"46,835","36,733","41,342","34,521","37,437","37,398","33,275","35,924","35,893","34,740","38,020","40,744"
2009,"45,195","38,366","42,235","37,975","34,163","37,530","34,380","33,775","36,842","36,159","39,409","44,988"
2008,"51,385","38,726","39,603","37,717","34,193","36,299","35,426","31,479","36,570","37,565","37,487","42,791"
2007,"48,800","39,623","39,143","43,055","36,637","35,398","37,368","32,682","36,629","39,397","36,925","50,106"
2006,"46,008","39,896","46,096","38,019","39,770","38,134","36,282","36,590","34,206","37,857","39,657","37,811"