Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belgium,BEL,69.7019512195122,70.5209756097561,70.219512195122,70.0514634146342,70.7551219512195,70.6253658536586,70.7063414634146,71.0129268292683,70.6931707317073,70.7648780487805,70.9719512195122,71.0604878048781,71.4051219512195,71.6353658536586,71.9858536585366,71.9712195121951,72.119756097561,72.7739024390244,72.6980487804878,73.1936585365854,73.2070731707317,73.6217073170732,73.8880487804878,73.8690243902439,74.4048780487805,74.520243902439,74.7317073170732,75.3658536585366,75.5658536585366,75.6326829268293,76.0519512195122,76.1921951219512,76.3512195121951,76.3453658536585,76.6917073170732,76.8407317073171,77.1873170731707,77.3707317073171,77.4731707317073,77.619512195122,77.7219512195122,77.9731707317073,78.0756097560976,78.1292682926829,78.8780487804878,78.9804878048781,79.380487804878,79.7829268292683,79.6804878048781,80.0341463414634,80.1829268292683,80.5853658536585,80.3853658536585,80.5878048780488,81.2878048780488,80.9926829268293,81.4390243902439,81.4926829268293,81.5951219512195,81.9951219512195,80.7951219512195,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bangladesh,BGD,45.379,45.97,46.557,47.126,47.649,48.05,48.236,48.176,47.888,47.432,46.942,46.589,46.507,46.773,47.396,48.313,49.402,50.498,51.473,52.277,52.9,53.376,53.794,54.225,54.693,55.21,55.772,56.359,56.958,57.571,58.21,58.891,59.618,60.388,61.19,62.002,62.798,63.553,64.25,64.881,65.447,65.956,66.43,66.886,67.331,67.773,68.213,68.648,69.072,69.485,69.881,70.256,70.606,70.93,71.231,71.514,71.785,72.052,72.32,72.591,72.868,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,United States,USA,69.7707317073171,70.2707317073171,70.119512195122,69.9170731707317,70.1658536585366,70.2146341463415,70.2121951219512,70.5609756097561,69.9512195121951,70.5073170731708,70.8073170731707,71.1073170731707,71.1560975609756,71.3560975609756,71.9560975609756,72.6048780487805,72.8560975609756,73.2560975609756,73.3560975609756,73.8048780487805,73.609756097561,74.009756097561,74.3609756097561,74.4634146341463,74.5634146341464,74.5634146341464,74.6146341463415,74.7658536585366,74.7658536585366,75.0170731707317,75.2146341463415,75.3658536585366,75.6170731707317,75.419512195122,75.619512195122,75.6219512195122,76.0268292682927,76.4292682926829,76.5804878048781,76.5829268292683,76.6365853658537,76.8365853658537,76.9365853658537,77.0365853658537,77.4878048780488,77.4878048780488,77.6878048780488,77.9878048780488,78.0390243902439,78.390243902439,78.5414634146342,78.6414634146341,78.7414634146342,78.7414634146342,78.8414634146341,78.690243902439,78.5390243902439,78.5390243902439,78.6390243902439,78.7878048780488,77.2804878048781,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ghana,GHA,45.843,46.279,46.696,47.093,47.469,47.823,48.155,48.469,48.768,49.057,49.34,49.625,49.912,50.206,50.507,50.811,51.113,51.409,51.698,51.984,52.277,52.585,52.92,53.286,53.685,54.127,54.622,55.159,55.717,56.271,56.776,57.182,57.462,57.605,57.62,57.528,57.366,57.187,57.045,56.972,57.002,57.158,57.425,57.785,58.225,58.719,59.234,59.741,60.216,60.645,61.03,61.381,61.72,62.064,62.416,62.772,63.124,63.463,63.78,64.074,64.347,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Norway,NOR,73.549756097561,73.5504878048781,73.4480487804878,73.0775609756098,73.5958536585366,73.7231707317073,73.9953658536585,74.0665853658537,73.9419512195122,73.6634146341463,74.0880487804878,74.1792682926829,74.3446341463415,74.4421951219512,74.7536585365854,74.8175609756098,75.039512195122,75.3868292682927,75.4185365853659,75.4139024390244,75.6717073170732,75.8690243902439,76.0109756097561,76.0668292682927,76.2243902439024,75.9168292682927,76.2412195121951,76.0817073170732,76.2204878048781,76.500487804878,76.5373170731707,76.9807317073171,77.1843902439025,77.1517073170732,77.689756097561,77.7365853658537,78.1504878048781,78.1426829268293,78.3292682926829,78.2829268292683,78.6341463414634,78.7853658536585,78.9878048780488,79.390243902439,79.8414634146342,80.0414634146342,80.3439024390244,80.3951219512195,80.5926829268293,80.7951219512195,80.9975609756098,81.2951219512195,81.4512195121951,81.7512195121951,82.1,82.3048780487805,82.4073170731707,82.609756097561,82.7585365853659,82.9585365853659,83.209756097561,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Mexico,MEX,57.077,57.668,58.193,58.656,59.069,59.447,59.807,60.165,60.536,60.932,61.362,61.829,62.327,62.845,63.378,63.922,64.467,65.009,65.54,66.055,66.553,67.031,67.493,67.942,68.38,68.809,69.232,69.649,70.062,70.469,70.866,71.248,71.61,71.953,72.279,72.598,72.925,73.268,73.625,73.988,74.34,74.658,74.922,75.118,75.243,75.3,75.296,75.255,75.194,75.128,75.065,75.011,74.966,74.93,74.908,74.904,74.917,74.947,74.992,75.054,75.131,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Brazil,BRA,54.143,54.634,55.13,55.627,56.121,56.61,57.091,57.563,58.025,58.475,58.911,59.332,59.739,60.132,60.513,60.884,61.243,61.595,61.942,62.286,62.63,62.976,63.326,63.68,64.039,64.406,64.782,65.165,65.553,65.947,66.343,66.742,67.141,67.539,67.932,68.318,68.695,69.061,69.419,69.769,70.116,70.462,70.813,71.17,71.531,71.896,72.26,72.618,72.966,73.3,73.619,73.921,74.209,74.483,74.745,74.994,75.23,75.456,75.672,75.881,76.084,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Egypt, Arab Rep.",EGY,48.042,48.609,49.134,49.628,50.101,50.545,50.945,51.292,51.592,51.865,52.146,52.479,52.894,53.408,54.021,54.717,55.465,56.222,56.958,57.659,58.332,58.995,59.671,60.372,61.091,61.806,62.487,63.11,63.662,64.143,64.572,64.978,65.392,65.831,66.298,66.779,67.249,67.68,68.051,68.357,68.602,68.796,68.961,69.116,69.271,69.434,69.608,69.788,69.971,70.159,70.349,70.543,70.736,70.928,71.117,71.302,71.482,71.656,71.825,71.99,72.15,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,China,CHN,43.725,44.051,44.783,45.972,47.592,49.549,51.696,53.847,55.843,57.603,59.085,60.303,61.344,62.281,63.134,63.915,64.631,65.278,65.857,66.377,66.844,67.26,67.627,67.949,68.231,68.473,68.673,68.831,68.954,69.054,69.145,69.242,69.355,69.496,69.67,69.885,70.14,70.428,70.737,71.063,71.397,71.732,72.061,72.381,72.689,72.985,73.271,73.553,73.835,74.119,74.409,74.708,75.013,75.321,75.629,75.928,76.21,76.47,76.704,76.912,77.097,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Mozambique,MOZ,39.439,39.879,40.238,40.508,40.698,40.822,40.904,40.975,41.061,41.178,41.343,41.567,41.836,42.135,42.451,42.759,43.028,43.242,43.391,43.479,43.515,43.521,43.527,43.56,43.637,43.772,43.975,44.235,44.541,44.887,45.261,45.647,46.033,46.41,46.772,47.123,47.47,47.826,48.194,48.572,48.946,49.295,49.61,49.889,50.143,50.387,50.641,50.934,51.292,51.738,52.31,53.043,53.931,54.949,56.062,57.206,58.309,59.309,60.163,60.854,61.387,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Fiji,FJI,60.811,61.172,61.478,61.741,61.967,62.157,62.302,62.401,62.456,62.481,62.492,62.512,62.555,62.633,62.752,62.913,63.11,63.327,63.552,63.776,63.997,64.217,64.436,64.651,64.857,65.041,65.19,65.299,65.365,65.391,65.379,65.336,65.278,65.218,65.17,65.15,65.175,65.246,65.36,65.512,65.687,65.863,66.022,66.152,66.247,66.313,66.362,66.413,66.477,66.559,66.655,66.759,66.859,66.95,67.03,67.103,67.175,67.252,67.341,67.444,67.561,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Japan,JPN,67.6660975609756,68.31,68.5948780487805,69.6580487804878,70.1324390243903,70.2019512195122,70.9865853658537,71.2765853658537,71.6112195121951,71.8387804878049,71.950243902439,72.8829268292683,73.5065853658537,73.7575609756097,74.3939024390244,75.0573170731707,75.4568292682927,75.8982926829268,76.0382926829268,76.3375609756098,76.0917073170732,76.4143902439025,76.9229268292683,76.9614634146342,77.3653658536585,77.650487804878,78.0646341463415,78.4836585365854,78.3992682926829,78.8180487804878,78.8368292682927,79.1007317073171,79.1539024390244,79.2936585365854,79.6870731707317,79.5363414634147,80.200243902439,80.4241463414634,80.5014634146342,80.5707317073171,81.0760975609756,81.4170731707317,81.5634146341463,81.76,82.030243902439,81.9251219512195,82.3219512195122,82.5070731707317,82.5875609756098,82.9314634146342,82.8426829268293,82.5912195121951,83.0960975609756,83.3319512195122,83.5878048780488,83.7939024390244,83.9848780487805,84.099756097561,84.2109756097561,84.3563414634146,84.6156097560976,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Djibouti,DJI,44.038,44.469,44.892,45.309,45.727,46.166,46.654,47.203,47.814,48.476,49.16,49.827,50.442,50.982,51.442,51.832,52.177,52.513,52.865,53.241,53.639,54.049,54.451,54.828,55.174,55.488,55.772,56.032,56.271,56.488,56.678,56.831,56.943,57.017,57.056,57.065,57.05,57.022,56.998,56.992,57.022,57.1,57.235,57.427,57.682,57.991,58.34,58.719,59.124,59.561,60.062,60.667,61.395,62.239,63.171,64.136,65.064,65.893,66.582,67.112,67.49,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,New Zealand,NZL,71.2365853658537,70.9853658536585,71.2317073170732,71.280487804878,71.3292682926829,71.2268292682927,71.1243902439025,71.4731707317073,71.1243902439025,71.4731707317073,71.2731707317073,71.7731707317073,71.8292682926829,71.6682926829268,71.9243902439024,72.219512195122,72.4219512195122,72.1682926829268,73.019512195122,73.0682926829269,72.8292682926829,73.6219512195122,73.7243902439024,73.7756097560976,74.3707317073171,73.8292682926829,74.1219512195122,74.1780487804878,74.4243902439024,74.8243902439024,75.3780487804878,76.0317073170732,76.1243902439025,76.4341463414634,76.8829268292683,76.7341463414634,76.7878048780488,77.3341463414634,78.0853658536585,77.890243902439,78.6365853658537,78.6926829268293,78.8463414634146,79.1463414634146,79.5487804878049,79.8512195121951,80.0487804878049,80.1512195121951,80.3512195121951,80.7024390243902,80.7024390243902,80.9048780487805,81.1560975609756,81.4073170731707,81.4048780487805,81.4568292682927,81.6124390243903,81.6585365853659,81.8585365853659,81.7073170731707,82.0560975609756,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,South Africa,ZAF,48.406,48.777,49.142,49.509,49.888,50.284,50.705,51.148,51.615,52.106,52.62,53.157,53.713,54.281,54.856,55.428,55.99,56.538,57.071,57.59,58.107,58.637,59.191,59.766,60.353,60.946,61.54,62.109,62.619,63.035,63.307,63.384,63.247,62.894,62.331,61.561,60.595,59.489,58.315,57.144,56.048,55.089,54.31,53.749,53.444,53.447,53.795,54.452,55.36,56.46,57.669,58.895,60.06,61.099,61.968,62.649,63.153,63.538,63.857,64.131,64.379,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Greece,GRC,68.1639024390244,68.5486341463415,68.8922682926829,69.1857073170732,69.4294390243902,69.638,69.8374634146341,70.0524634146342,70.3025609756098,70.5892926829268,70.9036341463415,71.2265609756098,71.535,71.8148536585366,72.0646341463415,72.2937073170732,72.5195609756098,72.7616585365854,73.0310731707317,73.3293658536585,73.6471463414634,73.9694878048781,74.279,74.5658536585366,74.8291219512195,75.078512195122,75.3297073170732,75.5981463414634,75.891243902439,76.6878048780488,76.9390243902439,77.1365853658537,77.3829268292683,77.390243902439,77.6390243902439,77.5853658536585,77.6853658536585,78.1365853658537,77.8390243902439,77.9878048780488,77.8878048780488,78.3878048780488,78.6414634146341,78.8414634146341,79.0390243902439,79.2390243902439,79.4390243902439,79.4390243902439,79.9390243902439,80.1878048780488,80.3878048780488,80.7317073170732,80.6341463414634,81.2853658536585,81.3853658536585,81.0365853658537,81.3878048780488,81.2878048780488,81.7878048780488,81.6390243902439,81.0878048780488,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 04/27/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
